scan,14
stress,4
syllable,5
frenchman,149
ashamed,57
deprive,39
andré,2
coquettish,5
glad,129
affectionate,20
annoyance,12
whoever,9
touch,129
kind,162
great,370
supper,59
may,277
disturb,25
impossible,178
laugh,235
press,132
need,202
excuse,39
hold,328
sleeve,43
friendly,32
unfortunate,23
oblige,26
interrupt,110
sorry,65
party,96
shine,34
radiantly,4
gaze,169
rapturous,21
seize,132
month,69
connection,52
hurriedly,68
overtake,37
anteroom,36
affectation,11
kindly,59
tear,219
borís,293
remain,299
boy,143
although,11
reluctantly,17
politely,11
ingratiate,6
appeal,20
transfer,41
guard,133
difficult,83
advise,33
rumyántsev,8
golítsyn,6
drubetskáya,10
lose,207
former,120
influential,3
procure,13
appointment,23
solely,12
embitter,4
clutch,23
tightly,3
anything,292
remind,34
friendship,40
entreat,10
sake,84
regard,136
benefactor,31
angry,112
kindhearted,7
papa,49
classically,1
mold,3
door,357
influence,56
however,100
capital,48
economize,1
realize,86
beg,76
chary,1
second,139
qualm,1
conscience,18
indebted,2
career,17
moreover,16
mostly,4
gain,49
insist,47
hour,117
scene,18
consideration,33
mikháylovna,131
weariness,10
prove,89
kindness,9
falter,6
term,39
michael,52
ilariónovich,6
adjutant,204
pester,1
commander,353
conspire,2
au,18
revoir,11
tomorrow,110
cry,348
probably,83
ill,80
apparently,41
forget,176
employ,22
art,28
artificial,14
pretend,36
task,19
accomplish,25
comedy,3
coronation,3
milan,1
petition,21
throne,10
grant,28
adorable,2
enough,61
whirl,12
crazy,8
straight,104
sarcastic,10
dieu,12
donne,1
gare,1
qui,8
touche,1
fine,125
remark,170
dio,1
mi,1
ha,51
dato,1
guai,1
chi,1
tocchi,1
beware,3
glass,94
able,107
endure,27
menace,13
polite,15
hopeless,9
xvii,1
queen,9
elizabeth,2
reap,6
reward,37
betrayal,2
bourbon,8
cause,251
compliment,7
usurper,3
sigh,107
disdainfully,6
completely,42
condé,2
gravity,12
bâton,1
gueules,2
engrêlé,1
azur,1
maison,3
france,41
air,137
acquaint,18
far,261
intrigue,25
violence,9
exile,10
execution,21
forever,33
destroy,108
accompany,64
imperial,28
choose,84
government,66
free,161
throw,161
rightful,2
conclude,50
royalist,1
emigrant,2
doubtful,6
rightly,4
suppose,87
already,325
regime,2
blush,86
break,168
aristocracy,3
buonapartists,1
real,72
state,152
public,25
opinion,115
aim,136
path,76
glory,42
silence,107
quote,3
antechamber,6
crowd,298
partial,2
cease,79
hero,53
martyr,2
appreciation,3
epigram,3
inappropriate,1
necessity,52
seem,92
greatness,21
responsibility,26
deed,29
mon,51
mutter,89
terrify,15
assassination,1
show,73
exclaim,85
several,188
slap,7
palm,11
merely,131
solemnly,10
desperately,9
flee,39
anarchy,1
quell,1
suggest,45
heed,13
eager,30
superior,28
suppress,19
abuse,20
preserve,18
equality,14
citizenship,3
freedom,114
avail,18
restore,20
grand,59
desperate,17
provocative,2
proposition,4
extreme,14
youth,47
regicide,3
rousseau,5
contrat,3
tolerant,1
idea,115
robbery,9
interject,2
ironical,11
important,130
emancipation,2
prejudice,3
retain,18
liberty,15
contemptuously,17
seriously,34
foolish,14
discredit,2
love,627
saviour,7
preach,7
happy,212
amuse,56
outburst,10
experience,141
sacrilegious,1
exasperate,5
convince,73
rally,6
vigorous,10
orator,6
execute,50
ordinary,33
innocent,16
untried,1
brumaire,2
imposture,1
swindle,2
prisoner,161
africa,8
horrible,11
unlike,13
grave,18
gloomy,37
instantaneously,3
replace,23
childlike,24
silly,9
forgiveness,13
jacobin,1
besides,112
statesman,4
private,29
course,126
chime,12
reinforcement,10
bridge,147
arcola,3
hospital,47
jaffa,1
plague,3
stricken,7
awkwardness,9
sign,76
emphatically,2
demand,92
attention,123
une,8
dame,2
behind,311
carriage,158
taste,24
collect,38
difficulty,64
livery,3
splutter,4
unfavorable,2
hat,67
contain,25
gasp,8
laughter,71
agreeably,4
unamiable,1
insignificant,27
theatrical,6
soiree,10
ungainly,3
average,1
huge,38
red,140
particularly,87
agreeable,27
absent,36
corner,106
pull,67
plume,19
mindedness,9
inability,2
redeem,2
modest,7
christian,15
mildness,4
indiscretion,2
everybody,119
unless,12
natured,32
include,18
hall,56
cloak,62
indifferently,5
chatter,16
fixedly,15
eyeglass,1
catch,105
match,29
contemplate,7
law,217
look,73
shawl,22
meaningless,18
downy,8
joyfully,37
snatch,25
push,97
aside,60
wrap,28
intentionally,4
embrace,63
gracefully,5
sleepy,16
past,175
reach,220
heel,22
stumble,20
porch,88
princesse,2
tongue,29
pick,41
saber,57
pretense,7
sir,70
disagreeable,11
block,26
gently,20
affectionately,9
postilion,4
wheel,53
rattle,23
spasmodically,3
home,182
cher,25
indeed,33
tip,7
finger,105
chap,2
officer,670
equal,31
deal,67
shelf,1
book,86
caesar,5
commentary,1
elbow,49
read,218
middle,83
mlle,1
rub,30
wave,59
possible,172
abstract,9
everywhere,50
guardsman,9
diplomatist,18
momentary,10
tuck,15
ten,106
tutor,23
twenty,135
dismiss,10
profession,4
agree,73
letter,290
money,126
forehead,48
freemason,18
refer,41
nonsense,82
business,100
horse,553
childish,23
naïve,25
fight,162
except,69
conviction,36
ironically,15
likely,16
lead,203
shake,96
wake,56
remove,48
gown,49
fresh,97
elegant,7
briskly,16
fussily,1
argumentative,1
argue,18
embarrassment,18
commonly,1
intercourse,5
judge,59
uncle,110
apráksins,2
easily,42
petulantly,1
playful,5
plainly,30
member,66
remember,253
association,4
shudder,17
someone,137
frigid,3
egotist,2
whim,4
goodness,27
lock,23
querulous,4
joyful,48
animal,51
squirrel,3
indecorous,1
pregnancy,5
gist,3
despair,42
doctor,175
bed,127
early,63
quiver,36
walk,161
tearful,5
entreaty,12
threat,6
regret,39
six,59
ago,74
desist,2
assure,41
outsider,1
distress,25
restrain,41
dryly,4
pitch,16
patience,19
exhaust,31
win,33
piteous,12
askance,3
timid,25
deprecate,1
dog,77
rapidly,95
feebly,7
wag,12
droop,18
tail,34
night,241
strange,200
continually,79
newly,22
decorate,5
luxurious,6
din,47
napkin,12
china,10
imprint,1
newness,1
household,46
halfway,14
lean,85
nervous,16
agitation,41
determine,22
advice,31
capable,18
irrevocable,4
mistake,64
waste,19
trifle,26
future,74
range,14
lackey,7
idiot,7
different,145
apparent,14
amazement,9
excellent,33
rare,12
safe,14
unmarried,7
loll,3
phrase,24
muscle,9
excitement,46
fire,342
extinguish,4
flash,21
lifeless,10
impassioned,2
morbid,2
irritation,10
goal,20
tie,33
chain,13
convict,9
strength,119
weigh,13
torment,55
gossip,22
vanity,18
triviality,1
caustic,3
exist,83
selfish,4
vain,15
trivial,11
funny,18
incapable,7
highly,17
model,9
perfection,10
posse,37
degree,25
quality,29
describe,61
extensive,1
capacity,19
philosophical,2
meditation,5
addict,1
commendation,3
essential,35
grease,2
smoothly,9
reassure,14
relax,4
careless,12
merry,59
crimson,12
plain,70
effort,118
consult,16
superiority,12
anywhere,24
kurágins,3
sort,78
debauchery,5
dissipation,6
comme,3
il,18
faut,4
wine,51
share,47
dissipate,5
reform,13
properly,10
ache,10
cloudless,1
northern,1
summer,31
